"Unit1","Faction1","Class1","CompClass1","Tier1","Cost1","Unit2","Faction2","Class2","CompClass2","Tier2","Cost2","Any Wins","Outright Wins","Win Through Flee","Ties","Lose Through Flee","Outright Losses","Any Losses","Total Destructions","AvgRounds","AvgUnit1Models","AvgUnit1Hp","AvgUnit2Models","AvgUnit2Hp"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Ratkin Battering-Rat","Ratkin","Ratwagons","Chariot","2","0","721","647","74","0","145","25","170","109","1.65","2.52","2.52","0.24","0.46"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Ratkin Thiefwagon","Ratkin","Ratwagons","Chariot","2","0","593","476","117","0","178","58","236","171","1.92","2.03","2.03","0.35","0.79"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Boneborn Warriors","Boneborn","Skeletons","Warriors","1","2","463","463","0","0","281","152","433","104","1.91","1.80","1.80","1.36","1.36"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Boneborn Archers","Boneborn","Skeletons","Archers","1","2","787","787","0","0","107","35","142","71","1.86","2.54","2.54","0.46","0.46"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Boneborn Revenants","Boneborn","Skeletons","Infantry","1","3","463","463","0","0","189","271","460","77","2.38","1.65","1.65","1.86","1.86"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Gobbo Beserkers","Gobbo","Goblins","Fast Infantry","1","3","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Boneborn Wights","Boneborn","Skeletons","Heavy Infantry","1","3","282","282","0","0","678","32","710","8","1.96","3.18","3.18","2.71","2.71"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Gobbo Archers","Gobbo","Goblins","Archers","1","2","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Boneborn Fodder","Boneborn","Skeletons","Chaff","1","1","956","956","0","0","16","8","24","20","1.90","3.27","3.27","0.07","0.07"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Gobbo Goblings","Gobbo","Goblins","Chaff","1","1","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Boneborn Shieldbearers","Boneborn","Skeletons","Heavy Infantry","1","2","551","551","0","0","236","135","371","78","2.26","1.93","1.93","1.19","1.19"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Gobbo Poppers","Gobbo","Goblins","Infantry","1","2","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Boneborn Tomb Titan","Boneborn","Bonegiant","Monster","2","0","215","215","0","0","360","244","604","181","1.74","1.32","1.32","0.60","1.54"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Gobbo Wolfcarts","Gobbo","Chariots","Chariot","2","0","0","0","0","0","0","7","7","993","1.00","0.00","0.00","0.01","0.01"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Boneborn Grave Beast","Boneborn","Bonegiant","Monster","2","0","262","262","0","0","639","66","705","33","1.85","3.05","3.05","0.71","2.59"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Gobbo Bangwagons","Gobbo","Chariots","Unique","2","0","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Boneborn Skullclops","Boneborn","Bonegiant","Monster","2","0","468","468","0","0","246","100","346","186","1.64","1.88","1.88","0.35","0.88"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Gobbo Hunting Party","Gobbo","Chariots","Chariot","2","0","0","0","0","0","0","9","9","991","1.00","0.00","0.00","0.01","0.01"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Boneborn Necromancers","Boneborn","Liches","Support Mage","2","0","708","708","0","0","137","68","205","87","1.85","1.99","1.99","0.33","0.55"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Gobbo Starchucker","Gobbo","Hurtbox","War Machine","2","0","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Boneborn Terrormancers","Boneborn","Liches","Attack Mage","2","0","476","476","0","0","243","159","402","122","1.92","1.61","1.61","0.70","1.19"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Gobbo Boombox","Gobbo","Hurtbox","War Machine","2","0","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Boneborn Blood Mages","Boneborn","Liches","Attack Infantry","2","0","43","43","0","0","202","696","898","59","1.21","0.37","0.37","1.65","2.85"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Gobbo Firetruck","Gobbo","Hurtbox","Monster","2","0","0","0","0","0","0","1","1","999","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Boneborn Wall of Flesh","Boneborn","Zombies","Heavy Infantry","2","0","0","0","0","0","582","418","1000","0","2.56","1.33","1.33","4.90","9.28"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Gobbo Flagellants","Gobbo","Priests","Attack Infantry","2","0","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Boneborn Ghouls","Boneborn","Zombies","Fast Infantry","2","0","24","24","0","0","285","681","966","10","2.39","0.57","0.57","5.22","9.88"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Gobbo Tincans","Gobbo","Priests","Heavy Infantry","2","0","0","0","0","0","0","1","1","999","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Boneborn Rotting Dead","Boneborn","Zombies","Unique","2","0","33","33","0","0","294","644","938","29","2.32","0.62","0.62","3.27","6.05"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Gobbo Skypriests","Gobbo","Priests","Fast Infantry","2","0","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Silk Court Warriors","Silk Court","Spiderlings","Warriors","1","2","600","348","252","0","222","74","296","104","1.79","2.22","2.22","1.18","1.18"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Ratkin Warriors","Ratkin","Rats","Warriors","1","2","0","0","0","0","0","33","33","967","1.00","0.00","0.00","0.04","0.04"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Silk Court Webspitters","Silk Court","Spiderlings","Infantry","1","3","401","234","167","0","368","159","527","72","1.91","2.02","2.02","1.90","1.90"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Ratkin Skitterers","Ratkin","Rats","Fast Infantry","1","3","0","0","0","0","0","42","42","958","1.00","0.00","0.00","0.05","0.05"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Silk Court Trappers","Silk Court","Spiderlings","Infantry","1","3","574","310","264","0","224","88","312","114","1.80","2.20","2.20","1.22","1.22"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Ratkin Pelters","Ratkin","Rats","Archers","1","2","0","0","0","0","0","42","42","958","1.00","0.00","0.00","0.05","0.05"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Silk Court Huntsmen","Silk Court","Spiderlings","Archers","1","2","826","440","386","0","104","17","121","53","1.64","3.11","3.11","0.95","0.95"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Ratkin Horde","Ratkin","Rats","Chaff","1","1","0","0","0","0","0","41","41","959","1.00","0.00","0.00","0.05","0.05"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Silk Court Trapdoors","Silk Court","Spiderlings","Unique","1","3","699","373","326","0","158","40","198","103","1.65","2.47","2.47","1.01","1.01"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Ratkin Assasslings","Ratkin","Rats","Infantry","1","3","0","0","0","0","0","34","34","966","1.00","0.00","0.00","0.04","0.04"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Silk Court Squires","Silk Court","Spiderlings","Heavy Infantry","1","2","789","398","391","0","124","19","143","68","2.23","3.01","3.01","1.07","1.07"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Ratkin Peltlings","Ratkin","Rats","Chaff","1","1","0","0","0","0","0","41","41","959","1.00","0.00","0.00","0.06","0.06"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Silk Court Jumpers","Silk Court","Knights","Flyer","2","0","855","452","403","0","83","22","105","40","1.67","3.05","3.05","0.90","0.90"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Ratkin Ninjas","Ratkin","Elites","Fast Infantry","2","0","0","0","0","0","0","367","367","633","1.00","0.00","0.00","0.64","0.64"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Silk Court Tarantulas","Silk Court","Knights","Heavy Cavalry","2","0","7","0","7","0","573","420","993","0","2.08","1.30","1.30","4.20","7.97"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Ratkin Heavies","Ratkin","Elites","Heavy Infantry","2","0","0","0","0","0","0","33","33","967","1.00","0.00","0.00","0.04","0.04"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Silk Court Widowmakers","Silk Court","Knights","Light Cavalry","2","0","365","24","341","0","216","402","618","17","2.33","1.59","1.59","2.35","4.21"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Ratkin Throatnicks","Ratkin","Elites","Attack Infantry","2","0","0","0","0","0","0","36","36","964","1.00","0.00","0.00","0.05","0.05"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Silk Court Shimmerwebs","Silk Court","Shifters","Heavy Infantry","2","0","421","256","165","0","331","126","457","122","2.32","1.93","1.93","1.58","1.58"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Ratkin Fearaltar","Ratkin","Rataltar","Support Mage","2","0","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Silk Court Webdancers","Silk Court","Shifters","Unique","2","0","594","336","258","0","243","76","319","87","1.77","2.25","2.25","1.30","1.30"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Ratkin Swarmaltar","Ratkin","Rataltar","Support Mage","2","0","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Silk Court Mimics","Silk Court","Shifters","Unique","2","0","396","231","165","0","344","129","473","131","1.67","1.80","1.80","1.55","1.55"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Ratkin Feastaltar","Ratkin","Rataltar","Support Mage","2","0","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Silk Court Cocoon Cannon","Silk Court","Webcannon","War Machine","2","0","991","921","70","0","9","0","9","0","1.19","4.23","4.23","0.08","0.11"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Ratkin Chumpwagon","Ratkin","Ratwagons","Unique","2","0","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Silk Court Spitter","Silk Court","Webcannon","War Machine","2","0","903","903","0","0","78","0","78","19","1.61","3.58","3.58","0.08","0.19"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Ratkin Battering-Rat","Ratkin","Ratwagons","Chariot","2","0","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Silk Court Weblayer","Silk Court","Webcannon","War Machine","2","0","989","937","52","0","8","0","8","3","1.21","4.17","4.17","0.06","0.08"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Ratkin Thiefwagon","Ratkin","Ratwagons","Chariot","2","0","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Redspines Warriors","Redspines","Warband","Warriors","1","2","378","131","247","0","220","146","366","256","1.59","1.48","1.48","1.41","1.41"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Boneborn Warriors","Boneborn","Skeletons","Warriors","1","2","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Redspines Archers","Redspines","Warband","Archers","1","2","576","224","352","0","133","70","203","221","1.67","2.02","2.02","1.26","1.26"
"Gobbo Beserkers","Gobbo","Goblins","Fast Infantry","1","3","Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","451","156","295","0","270","161","431","118","1.93","1.99","1.99","1.90","1.90"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Boneborn Archers","Boneborn","Skeletons","Archers","1","2","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Redspines Beserks","Redspines","Warband","Fast Infantry","1","3","372","142","230","0","228","141","369","259","1.61","1.44","1.44","1.46","1.46"
"Gobbo Beserkers","Gobbo","Goblins","Fast Infantry","1","3","Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Boneborn Revenants","Boneborn","Skeletons","Infantry","1","3","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Redspines Crowseekers","Redspines","Warband","Infantry","1","2","585","193","392","0","145","83","228","187","1.63","2.06","2.06","1.35","1.35"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Boneborn Wights","Boneborn","Skeletons","Heavy Infantry","1","3","0","0","0","0","161","0","161","839","1.00","0.97","0.97","0.97","0.97"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Redspines Relentless","Redspines","Warband","Infantry","1","3","355","118","237","0","214","162","376","269","1.59","1.38","1.38","1.38","1.38"
"Gobbo Beserkers","Gobbo","Goblins","Fast Infantry","1","3","Gobbo Archers","Gobbo","Goblins","Archers","1","2","777","325","452","0","97","45","142","81","1.83","2.92","2.92","1.40","1.40"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Boneborn Fodder","Boneborn","Skeletons","Chaff","1","1","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Redspines Pincushions","Redspines","Warband","Infantry","1","3","369","133","236","0","231","153","384","247","1.55","1.44","1.44","1.48","1.48"
"Gobbo Beserkers","Gobbo","Goblins","Fast Infantry","1","3","Gobbo Goblings","Gobbo","Goblins","Chaff","1","1","773","230","543","0","104","53","157","70","1.76","3.08","3.08","1.70","1.70"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Boneborn Shieldbearers","Boneborn","Skeletons","Heavy Infantry","1","2","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Redspines Meatwads","Redspines","Huskarls","Heavy Infantry","2","0","101","5","96","0","450","421","871","28","1.92","1.20","1.20","2.50","4.53"
"Gobbo Beserkers","Gobbo","Goblins","Fast Infantry","1","3","Gobbo Poppers","Gobbo","Goblins","Infantry","1","2","671","239","432","0","99","111","210","119","1.84","2.22","2.22","1.44","1.44"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Boneborn Tomb Titan","Boneborn","Bonegiant","Monster","2","0","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Redspines Blood-dancers","Redspines","Huskarls","Fast Infantry","2","0","101","0","101","0","288","595","883","16","1.76","0.78","0.78","2.64","4.81"
"Gobbo Beserkers","Gobbo","Goblins","Fast Infantry","1","3","Gobbo Wolfcarts","Gobbo","Chariots","Chariot","2","0","127","17","110","0","334","501","835","38","1.82","1.11","1.11","1.35","4.03"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Boneborn Grave Beast","Boneborn","Bonegiant","Monster","2","0","0","0","0","0","180","0","180","820","1.00","1.08","1.08","0.18","0.90"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Redspines Quillsprays","Redspines","Huskarls","Unique","2","0","346","21","325","0","156","470","626","28","2.16","1.24","1.24","2.15","3.83"
"Gobbo Beserkers","Gobbo","Goblins","Fast Infantry","1","3","Gobbo Bangwagons","Gobbo","Chariots","Unique","2","0","51","51","0","0","0","0","0","949","1.00","0.08","0.08","0.00","0.00"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Boneborn Skullclops","Boneborn","Bonegiant","Monster","2","0","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Redspines Raiders","Redspines","Boar Riders","Light Cavalry","2","0","354","198","156","0","229","157","386","260","1.64","1.30","1.30","0.77","1.26"
"Gobbo Beserkers","Gobbo","Goblins","Fast Infantry","1","3","Gobbo Hunting Party","Gobbo","Chariots","Chariot","2","0","594","156","438","0","162","167","329","77","2.47","2.44","2.44","0.96","2.63"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Boneborn Necromancers","Boneborn","Liches","Support Mage","2","0","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Redspines Woedriders","Redspines","Boar Riders","Heavy Cavalry","2","0","195","119","76","0","386","301","687","118","1.64","1.22","1.22","1.38","2.39"
"Gobbo Beserkers","Gobbo","Goblins","Fast Infantry","1","3","Gobbo Starchucker","Gobbo","Hurtbox","War Machine","2","0","997","906","91","0","3","0","3","0","1.18","4.66","4.66","0.09","0.13"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Boneborn Terrormancers","Boneborn","Liches","Attack Mage","2","0","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Redspines Screamers","Redspines","Boar Riders","Light Cavalry","2","0","249","129","120","0","261","224","485","266","1.49","1.08","1.08","0.91","1.48"
"Gobbo Beserkers","Gobbo","Goblins","Fast Infantry","1","3","Gobbo Boombox","Gobbo","Hurtbox","War Machine","2","0","997","911","86","0","3","0","3","0","1.19","4.64","4.64","0.09","0.12"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Boneborn Blood Mages","Boneborn","Liches","Attack Infantry","2","0","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Redspines Valkryies","Redspines","Warwitches","Support Mage","2","0","482","280","202","0","184","103","287","231","1.68","1.69","1.69","0.71","1.19"
"Gobbo Beserkers","Gobbo","Goblins","Fast Infantry","1","3","Gobbo Firetruck","Gobbo","Hurtbox","Monster","2","0","571","411","160","0","203","79","282","147","2.62","2.09","2.09","0.44","1.20"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Boneborn Wall of Flesh","Boneborn","Zombies","Heavy Infantry","2","0","0","0","0","0","0","884","884","116","1.00","0.00","0.00","1.61","2.84"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Redspines Furies","Redspines","Warwitches","Attack Mage","2","0","219","116","103","0","274","223","497","284","1.50","0.98","0.98","0.89","1.45"
"Gobbo Beserkers","Gobbo","Goblins","Fast Infantry","1","3","Gobbo Flagellants","Gobbo","Priests","Attack Infantry","2","0","41","41","0","0","195","602","797","162","1.15","0.32","0.32","1.95","1.95"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Boneborn Ghouls","Boneborn","Zombies","Fast Infantry","2","0","0","0","0","0","0","870","870","130","1.00","0.00","0.00","5.22","9.57"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Redspines Harvesters","Redspines","Warwitches","Support Mage","2","0","100","10","90","0","303","567","870","30","1.66","0.76","0.76","1.65","4.01"
"Gobbo Beserkers","Gobbo","Goblins","Fast Infantry","1","3","Gobbo Tincans","Gobbo","Priests","Heavy Infantry","2","0","145","68","77","0","466","309","775","80","2.14","1.46","1.46","2.98","2.98"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Boneborn Rotting Dead","Boneborn","Zombies","Unique","2","0","0","0","0","0","0","630","630","370","1.00","0.00","0.00","0.78","1.18"
"Gobbo Warriors","Gobbo","Goblins","Warriors","1","2","Coppersand Warriors","Coppersand","Mechanics","Warriors","1","2","672","378","294","0","177","63","240","88","1.82","2.43","2.43","1.12","1.12"
"Gobbo Beserkers","Gobbo","Goblins","Fast Infantry","1","3","Gobbo Skypriests","Gobbo","Priests","Fast Infantry","2","0","450","184","266","0","258","150","408","142","1.93","1.93","1.93","1.86","1.86"
"Gobbo Bomb Squad","Gobbo","Goblins","Unique","1","3","Silk Court Warriors","Silk Court","Spiderlings","Warriors","1","2","0","0","0","0","0","0","0","1000","1.00","0.00","0.00","0.00","0.00"
