* Nerfed basic Rats: -leadership
* Nerfed Harvesters: -Hit
* Nerfed Spitter: -Hit
* Nerfed Broodmother: -1 attack, -2 equips
* Nerfed Gravedigger: -1HP, -1 Equip, -1Hit
* Nerfed Raidleader: -1 attack
* Nerfed The Twins: -1 Multishot
* Nerfed Tarantulas: -1 Virulent

* Changed Dragoons: +Hit, d3->1 impact hits

* Buffed Hookshot: +AC, +Hit
* Buffed Fodder: +AC
* Buffed Bluemasks: +Hit
* Buffed Shimmerwebs: +Hit, +AC (effectively undid nerfs)
* Buffed Webdancers: +Attacks
* Buffed Gravebeast: +2 HP
* Buffed Squires: Shieldwall
* Buffed Revenants: +Hit
* Buffed Warcrane: +2 HP
* Buffed Trapdoors: +AC
* Buffed Poisoner: +1HP, +1 Equip, +1 Virulent
* Buffed Jumpers: +1 AC
* Buffed Clay Golems: +AP

Row Labels	Average of TCR1	Average of Ratio		
Scaled Empire The General	6	74.49136691	0	6
Ratkin The Packrat	5	73.93381295	-1	6
Boneborn Banshee Queen	7	73.8294964	1	6
Coppersand Bladestorms	5.5	70.66061151	-0.5	6
Gobbo Tincans	7.25	69.81438849	1.25	6
Boneborn Tomb Titan	6	69.45719424	0	6
Redspines Woedriders	6	68.0868705	0	6
Scaled Empire Dragoons	4	66.4057554	-2	6
Boneborn Wights	5	65.29478417	-0.5	5.5
Redspines Furies	5	64.05269784	0	5
Coppersand Juggernaut	6	63.99514388	1	5
Boneborn Grave Beast	7	63.83399281	2	5
Scaled Empire Wyrm Prince	6	63.46492806	1	5
Redspines Screamers	6	62.41744604	1	5
Silk Court Widowmakers	6	60.31276978	1	5
Ratkin Assasslings	5	60.09802158	0	5
Scaled Empire Scalewall	5	59.83111511	0	5
Redspines Quillsprays	4	59.62733813	-1	5
Scaled Empire Horsebreakers	5	59.44388489	0	5
Coppersand The Zeppelin	4	58.99172662	-1	5
Gobbo Cap'n Bangtidy	5	57.09118705	0	5
Ratkin Warriors	4	56.23147482	-1	5
Ratkin Skitterers	4	56.15395683	-1	5
Redspines Raiders	5	54.51564748	0	5
Coppersand Warcrane	6	53.98633094	1	5
Silk Court Mimics	5	53.95953237	0.5	4.5
Silk Court Webspitters	5	53.21420863	0.5	4.5
Redspines Warriors	4	52.94784173	0	4
Redspines Pincushions	4	52.9455036	0	4
Redspines Relentless	4	52.83471223	0	4
Redspines Beserks	4	52.67823741	0	4
Boneborn Terrormancers	3	52.63435252	-1	4
Silk Court Shimmerwebs	7	52.1057554	3	4
Scaled Empire Wyrmknights	4	52.0352518	0	4
Gobbo Skypriests	4	51.97068345	0	4
Scaled Empire Warriors	4	51.93435252	0	4
Gobbo Warriors	4	51.84748201	0	4
Gobbo Beserkers	4	51.7881295	0	4
Coppersand Artificers	4.5	51.38902878	0.5	4
Boneborn Warriors	4	51.15863309	0	4
Ratkin Pelters	3	50.81744604	-1	4
Redspines Crowcaller	3	50.17014388	-1	4
Coppersand Master Sapper	3	50.00107914	-1	4
Coppersand Crackshot	3	49.80863309	-1	4
Scaled Empire Bluemasks	6	48.44820144	2	4
Redspines Valkryies	3	48.35773381	-1	4
Boneborn Skullclops	4	47.43830935	0	4
Silk Court Huntmistress	4	46.42679856	0	4
Boneborn Revenants	5	46.24028777	1	4
Boneborn Shieldbearers	4	45.24064748	0	4
Silk Court Webdancers	6	44.54640288	2	4
Silk Court Trappers	4.5	44.4926259	0.5	4
Silk Court Warriors	4	44.39568345	0	4
Gobbo Hunting Party	3	43.22392086	-0.5	3.5
Ratkin The Cabal	3	42.67266187	-0.25	3.25
Scaled Empire Sharpshooter	3	41.99352518	0	3
Coppersand Overseer	3.25	41.68435252	0.25	3
Ratkin Thiefwagon	4	41.47967626	1	3
Redspines Crowseekers	4	41.17589928	1	3
Redspines Archers	3	40.95593525	0	3
Boneborn Necromancers	3	40.47194245	0	3
Silk Court Court Poisoner	5	39.80485612	2	3
Gobbo Poppers	4	39.61654676	1	3
Coppersand Warriors	3.5	39.47320144	0.5	3
Silk Court Trapdoors	4	38.14244604	1	3
Redspines The Brewer	3	33.45053957	0	3
Scaled Empire Scout Corps	3	33.10395683	0	3
Gobbo Archers	3	33.06744604	0	3
Scaled Empire Firepowder Corps	3	33.01492806	0	3
Ratkin The Grand Rataltar	3	32.6544964	0	3
Ratkin Battering-Rat	3	32.63381295	0	3
Boneborn Archers	3	32.03615108	0	3
Gobbo Goblings	3	31.43255396	0	3
Ratkin Horde	3	30.38758993	0	3
Scaled Empire Militia	3	30.34064748	0	3
Silk Court Handmaid	3	29.63758993	0	3
Silk Court Mistress of Whispers	3	29.55719424	0	3
Coppersand Snipers	2.5	28.5705036	-0.5	3
Silk Court Huntsmen	3	28.43453237	0	3
Silk Court Jumpers	4	28.39100719	1	3
Silk Court Squires	4	28.33399281	1	3
Gobbo Weirdweaver	3	26.86348921	0	3
Scaled Empire Archmage	3	26.70629496	0	3
Coppersand Gunners	2.5	23.96870504	-0.5	3
Boneborn Grand Necromancer	3	22.44838129	0	3
Silk Court Spitter	1	21.64136691	-1.5	2.5
Coppersand Supplicants	2	20.55197842	-0.5	2.5
Boneborn Fodder	3	19.24244604	1	2
Scaled Empire Outriders	3	18.61241007	1	2
Ratkin Peltlings	2	17.55935252	0	2
Coppersand Sappers	2	14.76420863	0	2
Silk Court Cocoon Cannon	1	9.172841727	0	1
Silk Court Weblayer	1	9.139028777	0	1
Coppersand Surpressor	1	8.733633094	0	1
Scaled Empire Cannonade	1	5.502877698	0	1
Scaled Empire Mortar Company	1	5.46852518	0	1
Gobbo Boombox	1	5.458633094	0	1
Scaled Empire War Organ	1	5.455935252	0	1
Coppersand Grand Bombard	1	5.444964029	0	1
Gobbo Starchucker	1	5.442266187	0	1
Coppersand Hookshot	2	5.431834532	1	1
