Id,Partial_Id,Name,Tier,Class,Faction,Cost,Casting Value,Spell Type,Range,Power,Image
06-1-1-1-1,1,Musket,1,Ranged,Coppersand,0,,,3,<b>Range 3</b> - Hits targets up to 3 squares away,./assets/weapons/1/ranged.png
06-1-1-1-2,2,Extra Musket,1,Ranged,Coppersand,1,,,3,<b>Range 3</b> - Hits targets up to 3 squares away,./assets/weapons/1/ranged.png
06-1-1-1-3,3,Blunderbuss,1,Ranged,Coppersand,1,,,2,"<b>Range 2</b> - Hits targets up to 2 squares away
<b>Scattershot</b> - May hit a second target in an adjacent firing line",./assets/weapons/1/ranged.png
06-1-1-2-1,1,Handcannon,2,Ranged,Coppersand,1,,,3,"<b>Range 3</b> - Hits targets up to 3 squares away
<b>AP 1</b> - Reduce block rolls by 1",./assets/weapons/2/ranged.png
06-1-1-2-2,2,Horsegun,2,Ranged,Coppersand,2,,,3,"<b>Range 3</b> - Hits targets up to 3 squares away
<b>Cripple</b> - Targets that take 1 or more wounds may move a maximum of 1 square until your next turn.",./assets/weapons/2/ranged.png
06-1-1-2-3,3,Mine,2,Ranged,Coppersand,2,,,2,"<b>Sidearm</b> - Can be equipped alongside another ranged weapon
<b>Single Use</b> - Can only be used once
<b>Mine</b> - Place a mine on any empty square in range 2. The first unit to enter that tile takes d6 attacks hitting on 2+ with AP2.",./assets/weapons/2/ranged.png
06-1-1-3-1,1,Shieldbreaker,3,Ranged,Coppersand,3,,,3,"<b>Range 3</b> - Hits targets up to 3 squares away
<b>AP 1</b> - Reduce block rolls by 1
<b>Shieldbreaker</b> - If a target equipped with a shield takes damage from this, destroy the shield.",./assets/weapons/3/ranged.png
06-1-1-3-2,2,Thunderbolt,3,Ranged,Coppersand,3,,,3,"<b>Range 3</b> - Hits targets up to 3 squares away
<b>Foe Piercing</b> - May also attack a unit within range directly behind the target, hitting with a -1 penalty.",./assets/weapons/3/ranged.png
06-1-1-3-3,3,Grapeshot,3,Ranged,Coppersand,3,,,2,"<b>Range 2</b> - Hits targets up to 3 squares away
<b>Scattershot</b> - May hit a target in each firing line",./assets/weapons/3/ranged.png
06-1-2-1-1,1,Stakes,1,Spear,Coppersand,1,,,,"<b>Deployed</b> - Reveal this when an enemy unit moves in front of this unit. Each model in the unit is hit on a 5+. These wounds count to combat resolution.
<b>Single Use</b> - Can only be used once",./assets/weapons/1/spear.png
06-1-3-2-1,1,Rusting Hammer,2,Blunt,Coppersand,3,,,,"<b>AP 1</b> - Reduce block rolls by 4.
<b>Armourbane</b> - Gain +1 to hit against units with at least 5 block.",./assets/weapons/2/blunt.png
06-1-3-3-1,1,Diamondcracker,3,Blunt,Coppersand,3,,,,<b>AP 6</b> - Reduce block rolls by 6.,./assets/weapons/3/blunt.png
06-1-4-3-1,1,Mechanical Axe,3,Axe,Coppersand,3,,,,<b>Multiwound d6</b> - Each hit does d6 wounds to a single model. Roll and apply hits one at a time.,./assets/weapons/3/axe.png
06-1-6-1-1,1,Pavise,1,Shield,Coppersand,1,,,,"<b>Ranged Block 2</b> - Improve the model's block by 2, unless in combat",./assets/weapons/1/shield.png
06-1-6-3-2,2,Mobile Fortifications,3,Shield,Coppersand,3,,,,"<b>Block 3</b> - Improve the model's block by 3
<b>Extremely Unwieldy</b> - This unit's rolls to hit in combat and at range only succeed on a 6.
<b>Immobile</b> - If the unit moves while this is revealed, destroy this item.",./assets/weapons/3/shield.png
06-1-6-3-3,3,Aegis,3,Shield,Coppersand,3,,,,"<b>Block 1</b> - Improve the model's block by 1
<b>Fighting Chance</b> - Ignore all wounds that do not allow an a block save (e.g. poison)",./assets/weapons/3/shield.png
07-1-1-1-1,1,Musket,1,Ranged,Scaled Empire,0,,,3,<b>Range 3</b> - Hits targets up to 3 squares away,./assets/weapons/1/ranged.png
07-1-1-1-2,2,Extra Musket,1,Ranged,Scaled Empire,1,,,3,<b>Range 3</b> - Hits targets up to 3 squares away,./assets/weapons/1/ranged.png
07-1-1-2-1,1,Grenade Launcher,2,Ranged,Scaled Empire,2,,,3,"<b>Range 3</b> - Hits targets up to 3 squares away
<b>AP 2</b> - Reduce block rolls by 2",./assets/weapons/2/ranged.png
07-1-1-2-2,2,Imperial Pistols,2,Ranged,Scaled Empire,2,,,2,"<b>Range 2</b> - Hits targets up to 2 squares away
<b>Quickfire</b> - Can be fired while in combat. Wounds done this way contribute to who won combat.",./assets/weapons/2/ranged.png
07-1-8-2-1,1,Shooting Star,2,Spell,Scaled Empire,1,4+,Attack,3,"<b>Spell</b> - Target an enemy unit within 3. It takes 3 attacks hitting on 4+ with AP 1. This can't target a unit in combat.
<b>Ranged Spell</b> - Can't be cast while in combat.",./assets/weapons/2/spell.png
07-1-8-3-2,2,Fireball,3,Spell,Scaled Empire,3,4+,Attack,6,"<b>Spell</b> - Pick a target square within 6 and roll a die. 
4, 5 or 6 - Direct hit
3 - Off by one, your choice
2 - Miss
1 - Off by up to two, opponent's choice 
5 attacks on 4+, AP 1
<b>Ranged Spell</b> - Can't be cast while in combat.",./assets/weapons/3/spell.png
07-1-8-2-3,3,Wind Shield,2,Spell,Scaled Empire,1,4+,Buff,3,<b>Spell</b> - Target a friendly unit within 3. That unit and any friendly units in its flanks gain a +2 bonus to block against ranged weapons.,./assets/weapons/2/spell.png
07-1-8-2-4,4,Radiant Bolt,2,Spell,Scaled Empire,2,2+,Attack,4,<b>Spell</b> - Target an enemy unit within 4. It takes 1 hit with no armour saves allowed. Can't target a unit in combat.,./assets/weapons/2/spell.png
07-1-8-3-5,5,Elder's Glory,3,Spell,Scaled Empire,2,4+,Buff,2,"<b>Spell</b> - Target a friendly unit within 2. Until your next turn, it can reroll missed hits in melee.",./assets/weapons/3/spell.png
07-1-8-3-6,6,Convocation,3,Spell,Scaled Empire,3,5+,Move,Infinite,<b>Spell</b> - Each friendly unit may immediately move one square towards the caster without changing their facing. This can cause them to move backwards or sidestep. This can cause them to leave combat.,./assets/weapons/3/spell.png
08-1-1-1-1,1,Heavy Bow,1,Ranged,Disciples,0,,,3,<b>Range 3</b> - Hits targets up to 3 squares away,./assets/weapons/1/ranged.png
08-1-1-1-2,2,Spare Bow,1,Ranged,Disciples,1,,,3,<b>Range 3</b> - Hits targets up to 3 squares away,./assets/weapons/1/ranged.png
08-1-1-2-1,1,Greatbow,2,Ranged,Disciples,2,,,3,"<b>Range 3</b> - Hits targets up to 3 squares away
<b>Multiwound 2</b> - Each hit does 2 wounds to a single model",./assets/weapons/2/ranged.png
08-1-1-2-2,2,Snares,2,Ranged,Disciples,2,,,2,"<b>Range 2</b> - Hits targets up to 2 squares away
<b>Snare</b> - Targets that take 1 or more wounds may not move on their next turn. They may still turn and act.",./assets/weapons/2/ranged.png
08-1-8-2-1,1,Slimeblooded,2,Spell,Disciples,1,3+,Buff,2,"<b>Spell</b> - Target a friendly unit within range 2. Until your next turn, it gains <b>Eager Regeneration 2</b> - Heal 2 at the start of each player's turn. This may not ressurect models.

<b>Graft</b> - If this is successfully cast again, it is removed from the effected unit.",./assets/weapons/2/spell.png
08-1-8-2-2,2,Scaly Skin,2,Spell,Disciples,1,3+,Buff,2,"<b>Spell</b> - Target a friendly unit within range 2. Until your next turn, it ignores Multiwound. Improve block by 1.

<b>Graft</b> - If this is successfully cast again, it is removed from the effected unit.",./assets/weapons/2/spell.png
08-1-8-2-3,3,Scything Claws,2,Spell,Disciples,1,3+,Buff,2,"<b>Spell</b> - Target a friendly unit within range 2. Until your next turn, it gains <b>Multiwound 2</b> - Each hit does 2 wounds to a single model, and <b>AP 1</b> - Reduce block rolls by 1.

<b>Graft</b> - If this is successfully cast again, it is removed from the effected unit.",./assets/weapons/2/spell.png
08-1-8-3-4,4,Rearm,3,Spell,Disciples,2,4+,Buff,2,"<b>Spell</b> - Target a friendly unit within range 2. Until your next turn, it makes a total of 9 attacks in combat, which can't be changed. The unit automatically flees from combat.

<b>Graft</b> - If this is successfully cast again, it is removed from the effected unit.",./assets/weapons/3/spell.png
08-1-8-3-5,5,Envenom,3,Spell,Disciples,2,4+,Buff,2,"<b>Spell</b> - Target a friendly unit within range 2. Until your next turn, it gains <b>Aggressive Poison</b> - 5s and 6s to hit can't be saved. Has no affect if the attack misses.

<b>Graft</b> - If this is successfully cast again, it is removed from the effected unit.",./assets/weapons/3/spell.png
08-1-8-3-6,6,Vilespines,3,Spell,Disciples,3,4+,Buff,2,"<b>Spell</b> - Target a friendly unit within range 2. Until your next turn, when this unit blocks in combat, the unit that attacked it takes the wounds instead.

<b>Graft</b> - If this is successfully cast again, it is removed from the effected unit.",./assets/weapons/3/spell.png
