Id,Name,Unit,Include,Faction,Class,Comparison Class,Base Block,Tier,Cost,Equips,Number,Movement,Melee Hit,Ranged Hit,Attacks,HP,Block,Powers,Spells,Banners,Spears,Axes,Clubs,Offhand,Shields,Ranged,Move Colour,HP Colour,Attacks Colour,Melee Colour,Ranged Colour,Block Colour,L1 Colour,L2 Colour,L1 Text Colour,L2 Text Colour,Faction Icon,Min Speed,Total Wounds,Predicted Hits to Kill,EAPM,EAPR,Poison Mult,Ret Bonus,Predicted Hits per Round,Base Score,Exclude From Averages
02_1_6,Peltlings,Ratkin Peltlings,TRUE,Ratkin,Rats,Chaff,-,1,1,,9,1,6,5,1,1,-,"<b>Cowards</b> - Always loses combat

<b>Chaff</b> - Subtract 1 from leadership rolls. 6s still auto-succeed. ",,,,,,,,1,#000000,#000000,#000000,#cc0000,#2b9800,#cc0000,#ffb380,#733d00,#000000,#ffffff,rats.png,1,9,9.00,1,9,1.00,0.00,1.50,11.25,FALSE
02_2A_1,Ninjas,Ratkin Ninjas,TRUE,Ratkin,Elites,Fast Infantry,-,2,,,9,2,4,5,1,1,-,"<b>Elusive 1</b> - All to-hit rolls targetting this unit suffer a -1 penalty.

<b>Smoke Bombs</b> - Once per game before combat, move this unit forward 2. This can go through any unit but must end in an unoccupied space. This can bring the unit into a new combat.

<b>Unprotected</b> - Reveal this unit when an attack hits it, rather than using the default block.",,,,,,2,,2,#2b9800,#000000,#000000,#2b9800,#000000,#cc0000,#ffb380,#733d00,#000000,#ffffff,rats.png,1,9,9.00,1,9,1.00,0.00,4.50,15.75,FALSE
02_2A_2,Heavies,Ratkin Heavies,TRUE,Ratkin,Elites,Heavy Infantry,6,2,,,9,1,5,6,1,1,4,<b>Stalwart</b> - Add 1 to leadership rolls,,,2,2,2,2,2,1,#000000,#000000,#000000,#000000,#000000,#2b9800,#ffb380,#733d00,#000000,#ffffff,rats.png,1,9,18.00,1,9,1.00,0.00,3.00,22.5,FALSE
02_2A_3,Throatnicks,Ratkin Throatnicks,TRUE,Ratkin,Elites,Attack Infantry,6,2,,,9,1,4,5,1,1,6,"<b>Poison</b> - 6s to hit can't be saved

<b>Lethal</b> - 6s to hit do two wounds to a model",,,1,2,,2,,2,#000000,#000000,#000000,#2b9800,#2b9800,#000000,#ffb380,#733d00,#000000,#ffffff,rats.png,1,9,10.80,1,9,1.11,0.00,5.00,18.3,FALSE
02_2B_1,Fearaltar,Ratkin Fearaltar,TRUE,Ratkin,Rataltar,Support Mage,5,2,,,1,1,4,-,5,3,5,<b>Sacrifice</b> - Action: Target friendly common unit takes a wound. It may then take an action.,2,,,,,2,,,#000000,#000000,#000000,#000000,#000000,#000000,#ffb380,#733d00,#000000,#ffffff,rats.png,1,3,4.50,5,5,1.00,0.00,2.50,8.25,TRUE
02_2B_2,Swarmaltar,Ratkin Swarmaltar,TRUE,Ratkin,Rataltar,Support Mage,5,2,,,1,1,5,-,4,3,5,<b>Call the Swarm</b> - Free action: Revive d6 rats in a common unit. Limited to the starting number of rats.,2,,,,,2,,,#000000,#000000,#000000,#000000,#000000,#000000,#ffb380,#733d00,#000000,#ffffff,rats.png,1,3,4.50,4,4,1.00,0.00,1.33,6.5,TRUE
02_2B_3,Feastaltar,Ratkin Feastaltar,TRUE,Ratkin,Rataltar,Support Mage,5,2,,,1,1,5,-,5,3,5,<b>Aura of Power</b> - Adjacent rats gain +1 to hit in melee,2,,,,,2,,,#000000,#000000,#000000,#000000,#000000,#000000,#ffb380,#733d00,#000000,#ffffff,rats.png,1,3,4.50,5,5,1.00,0.00,1.67,7,TRUE
02_2C_1,Chumpwagon,Ratkin Chumpwagon,TRUE,Ratkin,Ratwagons,Unique,6,2,,,1,2,5,-,6,4,6,"<b>Trojan Rats</b> - When this unit is wiped out, place a unit of Ratkin Warriors either in the same cell, or one of the four adjacent cells. You choose which direction they are facing.",,,2,2,2,2,,,#2b9800,#000000,#000000,#000000,#000000,#000000,#ffb380,#733d00,#000000,#ffffff,rats.png,2,4,4.80,6,6,1.00,0.00,2.00,7.8,FALSE
02_2C_2,Battering-Rat,Ratkin Battering-Rat,TRUE,Ratkin,Ratwagons,Chariot,6,2,,,1,2,5,-,6,4,5,"<b>Impact Hits d6+1</b> - If you get a charge bonus, do d6+1 attacks hitting on a 4+. These count towards who won combat.

<b>Push</b> - If you charge an opponent without using your whole movement allowance, you can push them back. Move them back one and move into their original square. This can't push opponents off the board or into occupied squares. This counts for charge distance. 

<b>Chariot</b> - Can't sidestep ",,,,,,,,,#2b9800,#000000,#cc0000,#000000,#000000,#000000,#ffb380,#733d00,#000000,#ffffff,rats.png,2,4,6.00,6,6,1.00,0.00,2.00,9,FALSE
02_2C_3,Thiefwagon,Ratkin Thiefwagon,TRUE,Ratkin,Ratwagons,Chariot,6,2,,,1,2,5,5,6,5,5,"<b>Thieves</b> - At the start of combat, if this unit is in the flank or rear of an enemy unit, steal an equipment card from it and equip this unit. 

<b>Manoeuvrable</b> - May turn once at any point during a move or hustle

<b>Chariot</b> - Can't sidestep ",,,,,,,,,#2b9800,#000000,#000000,#000000,#000000,#000000,#ffb380,#733d00,#000000,#ffffff,rats.png,2,5,7.50,6,6,1.00,0.00,2.00,10.5,FALSE
03_1_1,Warriors,Boneborn Warriors,TRUE,Boneborn,Skeletons,Warriors,6,1,2,,6,1,4,-,1,1,5,"<b>Unstable</b> - Instead of rolling to flee, lose 1 extra wound",,,1,1,1,1,1,,#000000,#000000,#000000,#000000,#000000,#000000,#e0e0d3,#4d4d4d,#000000,#ffffff,skellies.png,1,6,9.00,1,6,1.00,0.00,3.00,13.5,FALSE
03_1_2,Archers,Boneborn Archers,TRUE,Boneborn,Skeletons,Archers,6,1,2,,6,1,5,4,1,1,6,"<b>Unstable</b> - Instead of rolling to flee, lose 1 extra wound",,,,,,,,1,#000000,#000000,#000000,#cc0000,#2b9800,#cc0000,#e0e0d3,#4d4d4d,#000000,#ffffff,skellies.png,1,6,7.20,1,6,1.00,0.00,2.00,10.2,FALSE
03_1_3,Revenants,Boneborn Revenants,TRUE,Boneborn,Skeletons,Infantry,6,1,3,,6,1,5,-,1,1,5,"<b>Unstable</b> - Instead of rolling to flee, lose 1 extra wound

<b>Revenants</b> - After combat, add a new model for each enemy model that died. Limited to the starting size.",,,,1,1,1,1,,#000000,#000000,#000000,#cc0000,#000000,#000000,#e0e0d3,#4d4d4d,#000000,#ffffff,skellies.png,1,6,9.00,1,6,1.00,0.00,2.00,12,FALSE
03_1_4,Wights,Boneborn Wights,TRUE,Boneborn,Skeletons,Heavy Infantry,6,1,3,,6,1,5,-,1,1,4,"<b>Unstable</b> - Instead of rolling to flee, lose 1 extra wound

<b>Terrifying</b> - At the start of each round of combat, all enemy units in combat with it must roll to flee. If they flee out of combat, no combat takes place. ",,,1,1,1,1,1,,#000000,#000000,#000000,#cc0000,#000000,#2b9800,#e0e0d3,#4d4d4d,#000000,#ffffff,skellies.png,1,6,12.00,1,6,1.00,0.00,2.00,15,FALSE
03_1_5,Fodder,Boneborn Fodder,TRUE,Boneborn,Skeletons,Chaff,6,1,1,,6,1,6,-,1,1,6,"<b>Unstable</b> - Instead of rolling to flee, lose 1 extra wound",,,,,,,,,#000000,#000000,#000000,#cc0000,#000000,#cc0000,#e0e0d3,#4d4d4d,#000000,#ffffff,skellies.png,1,6,7.20,1,6,1.00,0.00,1.00,8.7,FALSE
03_1_6,Shieldbearers,Boneborn Shieldbearers,TRUE,Boneborn,Skeletons,Heavy Infantry,6,1,2,,6,1,5,-,1,1,4,"<b>Unstable</b> - Instead of rolling to flee, lose 1 extra wound",,,1,,,,1,,#000000,#000000,#000000,#cc0000,#000000,#2b9800,#e0e0d3,#4d4d4d,#000000,#ffffff,skellies.png,1,6,12.00,1,6,1.00,0.00,2.00,15,FALSE
03_2A_1,Tomb Titan,Boneborn Tomb Titan,TRUE,Boneborn,Bonegiant,Monster,5,2,,,1,1,3,-,5,5,4,"<b>Unstable</b> - Instead of rolling to flee, lose 1 extra wound

<b>Mighty Cleave</b> - In combat this unit makes its attacks against all adjacent enemy units. Roll separately for each. If they are not in combat, they take damage but are not included in combat resolution and do not strike back.

<b>Well Prepared</b> - Equipment costs 1 less.",,,,2,2,,,,#000000,#000000,#2b9800,#2b9800,#000000,#2b9800,#e0e0d3,#4d4d4d,#000000,#ffffff,skellies.png,1,5,10.00,5,5,1.00,0.00,3.33,15,FALSE
03_2A_2,Grave Beast,Boneborn Grave Beast,TRUE,Boneborn,Bonegiant,Monster,5,2,,,1,1,4,,4,5,5,"<b>Unstable</b> - Instead of rolling to flee, lose 1 extra wound

<b>Revenants</b> - After combat, add a new wound for each enemy that died. Limited to the starting size.

<b>Terrifying</b> - At the start of each round of combat, all enemy units in combat with it must roll to flee. If they flee out of combat, no combat takes place. ",,,,2,2,2,,,#000000,#000000,#000000,#000000,#000000,#000000,#e0e0d3,#4d4d4d,#000000,#ffffff,skellies.png,1,5,7.50,4,4,1.00,0.00,2.00,10.5,FALSE
03_2A_3,Skullclops,Boneborn Skullclops,TRUE,Boneborn,Bonegiant,Monster,5,2,,,1,1,3,3,4,5,5,"<b>Unstable</b> - Instead of rolling to flee, lose 1 extra wound

<b>Rock Lobber</b> - Ranged Weapon - Range 4, AP -2, Multiwound 3. ",,,,2,2,,,,#000000,#000000,#000000,#2b9800,#3467FF,#000000,#e0e0d3,#4d4d4d,#000000,#ffffff,skellies.png,1,5,7.50,4,4,1.00,0.00,2.67,11.5,FALSE
03_2B_1,Necromancers,Boneborn Necromancers,TRUE,Boneborn,Liches,Support Mage,6,2,,,3,1,2,-,1,2,6,"<b>Unstable</b> - Instead of rolling to flee, lose 1 extra wound

<b>Raise the Dead 1</b> - Free action: Choose an undead unit and heal 1 wound per Necromancer. This can resurrect models. Limited to the starting number of units/wounds.

<b>Stabalizer</b> - Units affected by Raise the Dead do not lose wounds due to unstable this turn.",2,,,,,,,,#000000,#000000,#cc0000,#3467FF,#000000,#cc0000,#e0e0d3,#4d4d4d,#000000,#ffffff,skellies.png,1,6,7.20,1,3,1.00,0.00,2.50,10.95,TRUE
03_2B_2,Terrormancers,Boneborn Terrormancers,TRUE,Boneborn,Liches,Attack Mage,6,2,,,3,1,4,4,2,2,5,"<b>Unstable</b> - Instead of rolling to flee, lose 1 extra wound

<b>Bone Spurs</b> - Ranged weapon. Can target any unit adjacent to a friendly Boneborn unit. Can fire into combat. Units wounded by this attack must immediately roll to flee.",2,,,,,,,,#000000,#000000,#000000,#000000,#2b9800,#000000,#e0e0d3,#4d4d4d,#000000,#ffffff,skellies.png,1,6,9.00,2,6,1.00,0.00,3.00,13.5,TRUE
03_2B_3,Blood Mages,Boneborn Blood Mages,TRUE,Boneborn,Liches,Attack Infantry,6,2,,,3,1,3,-,3,2,5,"<b>Unstable</b> - Instead of rolling to flee, lose 1 extra wound

<b>Blood Rites</b> - After combat, roll an extra attack for each wound this unit dealt in combat. This can damage a unit that has fled from it. ",2,,,,,,,,#000000,#000000,#2b9800,#2b9800,#000000,#000000,#e0e0d3,#4d4d4d,#000000,#ffffff,skellies.png,1,6,9.00,3,9,1.00,0.00,6.00,18,FALSE
03_2C_1,Wall of Flesh,Boneborn Wall of Flesh,TRUE,Boneborn,Zombies,Heavy Infantry,6,2,,,6,1,5,-,1,2,5,"<b>Unstable</b> - Instead of rolling to flee, lose 1 extra wound

<b>Spongey 2</b> - Ignore 2 damage every round of combat or when hit by a ranged attack.

<b>Slow</b> - Can't hustle",,,2,2,2,,2,,#000000,#2b9800,#000000,#cc0000,#000000,#000000,#e0e0d3,#4d4d4d,#000000,#ffffff,skellies.png,1,12,18.00,1,6,1.00,0.00,2.00,21,FALSE
03_2C_2,Ghouls,Boneborn Ghouls,TRUE,Boneborn,Zombies,Fast Infantry,6,2,,,6,1,4,-,1,2,6,"<b>Unstable</b> - Instead of rolling to flee, lose 1 extra wound

<b>Fresh Revenants</b> - After combat, add a new ghoul with full health for each enemy that died. Limited to the starting size.

<b>Fast</b> - Rolls two hustle die, so it can travel up to two extra squares.",,,,2,2,2,,,#000000,#2b9800,#000000,#000000,#000000,#cc0000,#e0e0d3,#4d4d4d,#000000,#ffffff,skellies.png,1,12,14.40,1,6,1.00,0.00,3.00,18.9,FALSE
03_2C_3,Rotting Dead,Boneborn Rotting Dead,TRUE,Boneborn,Zombies,Unique,6,2,,,6,1,5,-,1,2,5,"<b>Unstable</b> - Instead of rolling to flee, lose 1 extra wound

<b>Poison</b> - 6s to hit can't be saved

<b>Plague</b> - At the end of each player's turn, units adjacent to this unit suffer a wound on a 4+ with no armour saves allowed. Does not affect Boneborn units.",,,2,2,2,2,2,,#000000,#2b9800,#000000,#cc0000,#000000,#000000,#e0e0d3,#4d4d4d,#000000,#ffffff,skellies.png,1,12,18.00,1,6,1.17,0.00,2.33,21.5,FALSE
04_1_1,Warriors,Silk Court Warriors,TRUE,Silk Court,Spiderlings,Warriors,6,1,2,,5,1,4,6,1,1,5,<b>Poison</b> - 6s to hit can't be saved,,,1,1,1,1,1,1,#000000,#000000,#000000,#000000,#000000,#000000,#f1baff,#2d2d2d,#000000,#ffffff,spiders.png,1,5,7.50,1,5,1.11,0.00,2.78,11.66666667,FALSE
04_1_2,Webspitters,Silk Court Webspitters,TRUE,Silk Court,Spiderlings,Infantry,6,1,3,,5,1,4,5,1,1,5,"<b>Poison</b> - 6s to hit can't be saved

<b>Spit Webs</b> - Opponents that start a combat with this unit gain strikes last for the turn.",,,1,1,1,1,1,1,#000000,#000000,#000000,#000000,#000000,#000000,#f1baff,#2d2d2d,#000000,#ffffff,spiders.png,1,5,7.50,1,5,1.11,0.00,2.78,11.66666667,FALSE
04_1_3,Trappers,Silk Court Trappers,TRUE,Silk Court,Spiderlings,Infantry,6,1,3,,5,1,4,-,1,1,5,"<b>Poison</b> - 6s to hit can't be saved

<b>Web Traps</b> - Enemies can't flee from this unit or turn after combat. Instead of rolling to flee, they lose extra wounds for every point they lost combat.",,,1,1,1,1,1,,#000000,#000000,#000000,#000000,#000000,#000000,#f1baff,#2d2d2d,#000000,#ffffff,spiders.png,1,5,7.50,1,5,1.11,0.00,2.78,11.66666667,FALSE
04_1_4,Huntsmen,Silk Court Huntsmen,TRUE,Silk Court,Spiderlings,Archers,6,1,2,,5,1,5,4,1,1,6,<b>Poison</b> - 6s to hit can't be saved,,,,,,1,,1,#000000,#000000,#000000,#cc0000,#2b9800,#cc0000,#f1baff,#2d2d2d,#000000,#ffffff,spiders.png,1,5,6.00,1,5,1.17,0.00,1.94,8.916666667,FALSE
04_1_5,Trapdoors,Silk Court Trapdoors,TRUE,Silk Court,Spiderlings,Unique,6,1,3,,5,1,4,5,1,1,6,"<b>Poison</b> - 6s to hit can't be saved

<b>Ambush</b> - Action: Remove this unit from the board. On your next turn, place it on an empty space along any board edge (facing away from the board edge) as its action for the turn",,,1,1,1,1,,,#000000,#000000,#000000,#000000,#000000,#cc0000,#f1baff,#2d2d2d,#000000,#ffffff,spiders.png,1,5,6.00,1,5,1.11,0.00,2.78,10.16666667,FALSE
04_1_6,Squires,Silk Court Squires,TRUE,Silk Court,Spiderlings,Heavy Infantry,6,1,2,,5,1,6,-,1,1,4,<b>Poison</b> - 6s to hit can't be saved,,,1,1,1,,1,,#000000,#000000,#000000,#cc0000,#000000,#2b9800,#f1baff,#2d2d2d,#000000,#ffffff,spiders.png,1,5,10.00,1,5,1.33,0.00,1.11,11.66666667,FALSE
04_2A_1,Jumpers,Silk Court Jumpers,TRUE,Silk Court,Knights,Flyer,6,2,,,5,2,5,4,1,1,6,"<b>Poison</b> - 6s to hit can't be saved

<b>Tactical Retreat</b> - Can choose to flee before combat starts

<b>Jumping</b> - Can jump over units and obstacles while moving and hustling. Doing so increases the max movement distance by 1. Must end their turn in an empty square.

<b>Manoeuvrable</b> - May turn once at any point during a move or hustle",,,1,1,1,1,,2,#2b9800,#000000,#000000,#cc0000,#2b9800,#cc0000,#f1baff,#2d2d2d,#000000,#ffffff,spiders.png,2,5,6.00,1,5,1.17,0.00,1.94,8.916666667,FALSE
04_2A_2,Tarantulas,Silk Court Tarantulas,TRUE,Silk Court,Knights,Heavy Cavalry,6,2,,,5,2,4,-,1,2,5,"<b>Poison</b> - 6s to hit can't be saved

<b>Virulent 2+</b> - Any unit wounded by this unit becomes Poisoned. At the end of each of the controlling players turns, Poisoned units take a wound on a 2+ with no armour saves allowed.",,,2,2,2,,2,,#2b9800,#2b9800,#000000,#2b9800,#000000,#000000,#f1baff,#2d2d2d,#000000,#ffffff,spiders.png,2,10,15.00,1,5,1.11,0.00,2.78,19.16666667,FALSE
04_2A_3,Widowmakers,Silk Court Widowmakers,TRUE,Silk Court,Knights,Light Cavalry,6,2,,,5,2,5,5,1,2,6,"<b>Aggressive Poison</b> - 5s and 6s to hit can't be saved. Has no affect if the attack misses.

<b>Manoeuvrable</b> - May turn once at any point during a move or hustle",,,2,2,2,2,,,#2b9800,#2b9800,#000000,#cc0000,#000000,#cc0000,#f1baff,#2d2d2d,#000000,#ffffff,spiders.png,2,10,12.00,1,5,1.00,0.00,1.67,14.5,FALSE
